WORD_EN,WORD_KO,CAT_ID,DIFFICULTY
dog,개,1,1
cat,고양이,1,1
bird,새,1,1
fish,물고기,1,1
rabbit,토끼,1,1
cow,소,1,1
pig,돼지,1,1
horse,말,1,1
sheep,양,1,1
duck,오리,1,1
frog,개구리,1,1
mouse,쥐,1,1
deer,사슴,1,1
snake,뱀,1,1
turtle,거북이,1,1
tiger,호랑이,1,2
elephant,코끼리,1,2
giraffe,기린,1,2
dolphin,돌고래,1,2
penguin,펭귄,1,2
monkey,원숭이,1,2
panda,판다,1,2
bear,곰,1,2
wolf,늑대,1,2
fox,여우,1,2
lion,사자,1,2
zebra,얼룩말,1,2
crocodile,악어,1,2
parrot,앵무새,1,2
hamster,햄스터,1,2
camel,낙타,1,2
kangaroo,캥거루,1,2
koala,코알라,1,2
peacock,공작,1,2
octopus,문어,1,2
cheetah,치타,1,3
rhinoceros,코뿔소,1,3
hippopotamus,하마,1,3
chameleon,카멜레온,1,3
platypus,오리너구리,1,3
gorilla,고릴라,1,3
orangutan,오랑우탄,1,3
flamingo,홍학,1,3
anaconda,아나콘다,1,3
wolverine,울버린,1,3
narwhal,일각고래,1,3
axolotl,아홀로틀,1,3
komodo,코모도왕도마뱀,1,3
capybara,카피바라,1,3
mandrill,맨드릴,1,3
apple,사과,2,1
banana,바나나,2,1
bread,빵,2,1
milk,우유,2,1
egg,달걀,2,1
rice,쌀,2,1
water,물,2,1
juice,주스,2,1
cake,케이크,2,1
cookie,쿠키,2,1
sugar,설탕,2,1
salt,소금,2,1
meat,고기,2,1
soup,국,2,1
pizza,피자,2,1
strawberry,딸기,2,2
watermelon,수박,2,2
pineapple,파인애플,2,2
mushroom,버섯,2,2
tomato,토마토,2,2
potato,감자,2,2
carrot,당근,2,2
onion,양파,2,2
garlic,마늘,2,2
cheese,치즈,2,2
butter,버터,2,2
yogurt,요거트,2,2
noodle,국수,2,2
dumpling,만두,2,2
sausage,소시지,2,2
broccoli,브로콜리,2,2
spinach,시금치,2,2
cucumber,오이,2,2
pepper,고추,2,2
pumpkin,호박,2,2
avocado,아보카도,2,3
asparagus,아스파라거스,2,3
blueberry,블루베리,2,3
raspberry,산딸기,2,3
cranberry,크랜베리,2,3
pomegranate,석류,2,3
persimmon,감,2,3
eggplant,가지,2,3
zucchini,애호박,2,3
artichoke,아티초크,2,3
truffle,트러플,2,3
saffron,사프란,2,3
quinoa,퀴노아,2,3
edamame,에다마메,2,3
kimchi,김치,2,3
run,달리다,3,1
eat,먹다,3,1
sleep,자다,3,1
read,읽다,3,1
write,쓰다,3,1
walk,걷다,3,1
sit,앉다,3,1
stand,서다,3,1
jump,뛰다,3,1
swim,수영하다,3,1
see,보다,3,1
hear,듣다,3,1
drink,마시다,3,1
open,열다,3,1
close,닫다,3,1
speak,말하다,3,2
listen,경청하다,3,2
understand,이해하다,3,2
remember,기억하다,3,2
study,공부하다,3,2
teach,가르치다,3,2
learn,배우다,3,2
work,일하다,3,2
play,놀다,3,2
cook,요리하다,3,2
drive,운전하다,3,2
travel,여행하다,3,2
laugh,웃다,3,2
cry,울다,3,2
think,생각하다,3,2
choose,선택하다,3,2
build,짓다,3,2
explain,설명하다,3,2
prepare,준비하다,3,2
decide,결정하다,3,2
concentrate,집중하다,3,3
accomplish,성취하다,3,3
communicate,소통하다,3,3
demonstrate,시연하다,3,3
investigate,조사하다,3,3
collaborate,협력하다,3,3
negotiate,협상하다,3,3
summarize,요약하다,3,3
distinguish,구별하다,3,3
exaggerate,과장하다,3,3
procrastinate,미루다,3,3
anticipate,예상하다,3,3
rehabilitate,재활하다,3,3
differentiate,차별화하다,3,3
underestimate,과소평가하다,3,3
big,크다,4,1
small,작다,4,1
fast,빠르다,4,1
slow,느리다,4,1
happy,행복하다,4,1
sad,슬프다,4,1
hot,뜨겁다,4,1
cold,차갑다,4,1
new,새롭다,4,1
old,오래되다,4,1
good,좋다,4,1
bad,나쁘다,4,1
long,길다,4,1
short,짧다,4,1
clean,깨끗하다,4,1
beautiful,아름답다,4,2
dangerous,위험하다,4,2
comfortable,편안하다,4,2
curious,궁금하다,4,2
delicious,맛있다,4,2
difficult,어렵다,4,2
easy,쉽다,4,2
important,중요하다,4,2
interesting,흥미롭다,4,2
boring,지루하다,4,2
friendly,친절하다,4,2
honest,정직하다,4,2
brave,용감하다,4,2
clever,영리하다,4,2
gentle,온화하다,4,2
creative,창의적이다,4,2
generous,너그럽다,4,2
patient,인내심이 강하다,4,2
confident,자신감이 있다,4,2
cheerful,명랑하다,4,2
exhausted,지치다,4,3
magnificent,웅장하다,4,3
sophisticated,세련되다,4,3
ambiguous,모호하다,4,3
spontaneous,즉흥적이다,4,3
conscientious,성실하다,4,3
compassionate,동정심이 많다,4,3
perseverant,끈기있다,4,3
meticulous,꼼꼼하다,4,3
resilient,회복력이 강하다,4,3
indispensable,없어서는 안될,4,3
overwhelming,압도적이다,4,3
indecisive,우유부단하다,4,3
unpredictable,예측불가능하다,4,3
extraordinary,비범하다,4,3
school,학교,5,1
friend,친구,5,1
book,책,5,1
phone,전화기,5,1
money,돈,5,1
house,집,5,1
car,자동차,5,1
door,문,5,1
window,창문,5,1
table,테이블,5,1
chair,의자,5,1
bag,가방,5,1
pen,펜,5,1
clock,시계,5,1
key,열쇠,5,1
hospital,병원,5,2
subway,지하철,5,2
convenience,편의점,5,2
market,시장,5,2
library,도서관,5,2
restaurant,식당,5,2
airport,공항,5,2
station,역,5,2
office,사무실,5,2
factory,공장,5,2
umbrella,우산,5,2
suitcase,여행 가방,5,2
calendar,달력,5,2
keyboard,키보드,5,2
notebook,노트북,5,2
elevator,엘리베이터,5,2
escalator,에스컬레이터,5,2
microwave,전자레인지,5,2
